Name,Formula,Source,Purity,N_NO3,N_NH4,P,K,Mg,Ca,S,B,Fe,Zn,Mn,Cu,Mo,Na,Si,Cl,isLiquid,Density,Cost,ConcType
Jacks 5-12-26 Part A,NPK blend,Jack's Nutrients,1.0,5.0,0.0,5.24,21.58,6.3,0.0,8.5,0.05,0.3,0.015,0.05,0.015,0.019,0.0,0.0,0.0,0,0.0,0.0,0
Jacks 0-12-26 Part A,PK blend,Jack's Nutrients,1.0,0.0,0.0,5.24,21.58,6.0,0.0,13.0,0.05,0.3,0.015,0.05,0.015,0.0009,0.0,0.0,0.0,0,0.0,0.0,0
Jacks Calcium Nitrate,Ca(NO3)2,Jack's Nutrients,1.0,15.5,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1
Calcium Sulfate,CaSO4·2H2O,Generic,1.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Athena Pro Core,14-0-0,Athena,1.0,14.0,0.0,0.0,0.0,0.0,17.0,0.0,0.015,0.1,0.013,0.04,0.01,0.01,0.0,0.0,0.0,0,0.0,0.0,0
Athena Pro Grow,2-8-20,Athena,1.0,2.0,0.0,3.49,16.6,3.0,0.0,8.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Athena Pro Bloom,0-12-24,Athena,1.0,0.0,0.0,5.24,19.92,3.0,0.0,9.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Athena Grow A,4-0-1,Athena,1.0,3.8,0.2,0.0,0.83,0.19,4.2,0.0,0.01,0.06,0.0045,0.013,0.0,0.0007,0.0,0.0,0.0,1,1.0,0.0,0
Athena Grow B,1-3-5,Athena,1.0,0.2,0.8,1.31,4.15,0.89,0.0,1.3,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,1,1.0,0.0,0
Athena Bloom A,4-0-5,Athena,1.0,3.8,0.2,0.0,4.15,0.17,3.2,0.0,0.01,0.06,0.0045,0.013,0.0,0.0007,0.0,0.0,0.0,1,1.0,0.0,0
Athena Bloom B,0.7-6-5,Athena,1.0,0.5,0.2,2.62,4.15,0.94,0.0,1.3,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,1,1.0,0.0,0
CropSalt Veg A,5-0-0.3,CropSalt,1.0,5.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
CropSalt Veg B,1.3-2-5.9,CropSalt,1.0,1.3,0.0,0.87,4.90,1.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
FloraFlex V1,14-0-4,FloraFlex,1.0,13.0,1.0,0.0,3.32,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0
